NAME,REGION,LATITUDE,LONGITUDE,ELEVATION,TYPE,STATUS,LAST ERUPTION CODE
AUCKLAND FIELD,NEW ZEALAND,-36.9,174.87,260,VOLCANIC FIELD,RADIOCARBON,D6
AUGUSTINE,ALASKA-SW,59.37,-153.42,1252,LAVA DOMES,HISTORICAL,D1
AVACHINSKY,KAMCHATKA,53.255,158.83,2741,STRATOVOLCANO,HISTORICAL,D1
AWU,SANGIHE IS-INDONESIA,3.67,125.5,1320,STRATOVOLCANO,HISTORICAL,D1
AXIAL SEAMOUNT,PACIFIC-NE,45.95,-130.0,-1500,SUBMARINE VOLCANO,HISTORICAL,D1
AYELU,ETHIOPIA,10.082,40.702,2145,STRATOVOLCANO,HOLOCENE,U
AZUFRAL,COLOMBIA,1.08,-77.68,4070,STRATOVOLCANO,RADIOCARBON,D7
AZUFRE,CHILE-N,-21.78,-68.23,5846,STRATOVOLCANO,HOLOCENE,U
AZUL,GALAPAGOS,-0.9,-91.42,1690,SHIELD VOLCANO,HISTORICAL,D1
AZUL,CHILE-C,-35.653,-70.761,3788,STRATOVOLCANO,HISTORICAL,D1
AZUL,NICARAGUA,12.53,-83.87,201,CINDER CONES,HOLOCENE,U
AZUMA,HONSHU-JAPAN,37.73,140.25,2024,STRATOVOLCANOES,HISTORICAL,D1
BABUYAN CLARO,LUZON-N OF,19.523,121.94,1180,STRATOVOLCANOES,HISTORICAL,D2
BACHELOR,US-OREGON,43.979,-121.688,2763,STRATOVOLCANO,TEPHROCHRONOLOGY,D7
BAGANA,BOUGAINVILLE-SW PACI,-6.14,155.195,1750,LAVA CONE,HISTORICAL,D1
BAITOUSHAN,CHINA-E,41.98,128.08,2744,STRATOVOLCANO,HISTORICAL,D4
BAKENIN,KAMCHATKA,53.905,158.07,2278,STRATOVOLCANO,TEPHROCHRONOLOGY,D7
BAKER,US-WASHINGTON,48.786,-121.82,3285,STRATOVOLCANO,HISTORICAL,D3
BAL HAF,ARABIA-S,14.05,48.33,233,VOLCANIC FIELD,HOLOCENE,U
BALAGAN-TAS,RUSSIA-NE,66.43,143.73,993,CINDER CONE,HISTORICAL,D4
BALATOCAN,MINDANAO-PHILIPPINES,8.8,124.92,2450,COMPOUND VOLCANO,FUMAROLIC,U
BALBI,BOUGAINVILLE-SW PACI,-5.83,154.98,2715,STRATOVOLCANO,HOLOCENE,U
BALD KNOLL,US-UTAH,37.328,-112.408,2135,CINDER CONES,HOLOCENE?,?
BALUAN,ADMIRALTY IS-SW PACI,-2.57,147.28,254,STRATOVOLCANO,HOLOCENE?,U
BALURAN,JAVA,-7.85,114.37,1247,STRATOVOLCANO,HOLOCENE?,?
BALUT,MINDANAO-PHILIPPINES,5.4,125.375,852,STRATOVOLCANO,HOLOCENE,U
BAM,NEW GUINEA-NE OF,-3.6,144.85,685,STRATOVOLCANO,HISTORICAL,D2
