NAME,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,TYPE,POPULATION WITHIN 10KM,LARGEST YEAR,LARGEST VEI,LATEST YEAR,LATEST VEI
Kronotsky,Russia,54.753,160.533,3482,Stratovolcano,12,1923,2,1923,2
Krummel-Garbuna-Welcker,Papua New Guinea,-5.416,150.027,564,Stratovolcano(es),8207,2008,2,2008,1
Krysuvik,Iceland,63.883,-22.083,360,Crater rows,29070,900,2,1340,1
Ksudach,Russia,51.844,157.572,1079,Stratovolcano,0,240,6,1907,5
Kuchinoerabujima,Japan,30.443,130.218,639,Stratovolcano(es),1698,1933,4,2015,3
Kueishantao,Taiwan,24.841,121.953,361,Stratovolcano,6523,1785,0,1785,0
Kujusan,Japan,33.086,131.249,1791,Stratovolcano(es),11771,-100,4,1995,1
Kunlun Volcanic Group,China,35.52,80.2,5808,Pyroclastic cone(s),1253,1951,2,1951,2
Kupreanof,United States,56.011,-159.797,1895,Stratovolcano,0,1987,1,1987,1
Kurikomayama,Japan,38.961,140.788,1627,Stratovolcano,1081,1950,2,1950,2
Kurile Lake,Russia,51.45,157.12,81,Caldera,23,-6440,7,-6440,7
Kusatsu-Shiranesan,Japan,36.618,138.528,2165,Stratovolcano(es),14296,-1120,4,1983,1
Kuttara,Japan,42.491,141.16,549,Stratovolcano(es),34015,1820,1,1820,1
Kuwae,Vanuatu,-16.829,168.536,-2,Caldera,2836,1949,3,1974,0
Kverkfjoll,Iceland,64.653,-16.647,1930,Stratovolcano,0,1959,1,1968,0
Kyejo,Tanzania,-9.229,33.792,2176,Stratovolcano,38428,1800,2,1800,2
La Palma,Spain,28.57,-17.83,2426,Stratovolcano(es),18506,1971,2,1971,2
Lamington,Papua New Guinea,-8.95,148.15,1680,Stratovolcano,2018,1951,4,1951,4
Lamongan,Indonesia,-7.979,113.342,1651,Stratovolcano,66387,1877,3,1898,2
Langila,Papua New Guinea,-5.525,148.42,1330,Complex,3653,1973,3,2016,2
Langjokull,Iceland,64.85,-19.7,1100,Subglacial,0,950,2,950,2
Lanin,Chile-Argentina,-39.637,-71.502,3776,Stratovolcano,352,90,0,90,0
Lanzarote,Spain,29.03,-13.63,670,Fissure vent(s),80515,1730,3,1824,2
Larderello,Italy,43.25,10.87,500,Explosion crater(s),13609,1282,3,1282,3
